taxonomy_name,dataset_name,num_mapped_classes,num_other_classes,num_classes
goncalves2011ecg_tx003.ttl,goncalves2011ecg,3,0,3
goncalves2011ecg_tx004.ttl,goncalves2011ecg,2,0,2
goncalves2011ecg_tx005.ttl,goncalves2011ecg,18,0,18
goncalves2011ecg_tx006.ttl,goncalves2011ecg,5,0,5
goncalves2011ecg_tx007.ttl,goncalves2011ecg,2,0,2
goncalves2011ecg_tx008.ttl,goncalves2011ecg,20,0,20
goncalves2011ecg_tx009.ttl,goncalves2011ecg,3,0,3
goncalves2011ecg_tx010.ttl,goncalves2011ecg,3,0,3
goncalves2011ecg_tx011.ttl,goncalves2011ecg,3,0,3
goncalves2011ecg_tx012.ttl,goncalves2011ecg,3,0,3
goncalves2011ecg_tx013.ttl,goncalves2011ecg,3,0,3
goncalves2011ecg_tx014.ttl,goncalves2011ecg,2,0,2
grueau2013towards_tx001.ttl,grueau2013towards,0,11,11
guarino2016value_tx001.ttl,guarino2016value,3,0,3
guarino2018rea_tx001.ttl,guarino2018rea,4,0,4
guarino2018rea_tx002.ttl,guarino2018rea,2,1,3
guizzardi2005ontological_tx001.ttl,guizzardi2005ontological,18,0,18
guizzardi2005ontological_tx002.ttl,guizzardi2005ontological,2,0,2
guizzardi2005ontological_tx003.ttl,guizzardi2005ontological,4,0,4
guizzardi2005ontological_tx004.ttl,guizzardi2005ontological,5,0,5
guizzardi2005ontological_tx005.ttl,guizzardi2005ontological,6,0,6
guizzardi2014nfr_tx001.ttl,guizzardi2014nfr,0,8,8
guizzardi2014nfr_tx002.ttl,guizzardi2014nfr,0,3,3
guizzardi2020decision-making_tx001.ttl,guizzardi2020decision-making,0,3,3
guizzardi2020decision-making_tx002.ttl,guizzardi2020decision-making,3,0,3
guizzardi2020decision-making_tx003.ttl,guizzardi2020decision-making,5,0,5
guizzardi2020decision-making_tx004.ttl,guizzardi2020decision-making,3,0,3
guizzardi2020decision-making_tx005.ttl,guizzardi2020decision-making,1,1,2
guizzardi2020decision-making_tx006.ttl,guizzardi2020decision-making,3,0,3
guizzardi2020decision-making_tx007.ttl,guizzardi2020decision-making,2,0,2
guizzardi2020decision-making_tx008.ttl,guizzardi2020decision-making,2,0,2
guizzardi2022ufo_tx001.ttl,guizzardi2022ufo,2,0,2
guizzardi2022ufo_tx002.ttl,guizzardi2022ufo,2,0,2
guizzardi2022ufo_tx003.ttl,guizzardi2022ufo,8,0,8
guizzardi2022ufo_tx004.ttl,guizzardi2022ufo,2,0,2
guizzardi2022ufo_tx005.ttl,guizzardi2022ufo,4,0,4
guizzardi2022ufo_tx006.ttl,guizzardi2022ufo,2,0,2
guizzardi2022ufo_tx007.ttl,guizzardi2022ufo,2,0,2
guizzardi2022ufo_tx008.ttl,guizzardi2022ufo,10,0,10
guizzardi2022ufo_tx009.ttl,guizzardi2022ufo,0,7,7
guizzardi2022ufo_tx010.ttl,guizzardi2022ufo,5,0,5
haridy2021egyptian-e-government_tx001.ttl,haridy2021egyptian-e-government,3,0,3
haridy2021egyptian-e-government_tx002.ttl,haridy2021egyptian-e-government,3,0,3
